target,Intent,user_Input
1,Flight_Booking,How do I book a flight?
1,Flight_Booking,What are the available flights to London?
1,Flight_Booking,Can I book a flight for tomorrow?
1,Flight_Booking,What is the cheapest flight to Paris?
1,Flight_Booking,Is there a direct flight to New York?
1,Flight_Booking,How can I book a flight to Paris?
1,Flight_Booking,Do you have any flights available to New York on June 15th?
1,Flight_Booking,Can I book a one-way flight to London?
1,Flight_Booking,What is the price for a round-trip flight to Tokyo?
1,Flight_Booking,Can I book a flight for someone else?
1,Flight_Booking,Is there a direct flight from Miami to Sydney?
1,Flight_Booking,How do I apply a promo code when booking a flight?
1,Flight_Booking,Are there any flights available with extra legroom seats?
1,Flight_Booking,Can I choose my seat when booking a flight?
1,Flight_Booking,How early should I arrive at the airport for my flight?
2,Hotel_Booking,How do I book a hotel room?
2,Hotel_Booking,What is the cheapest hotel in Paris?
2,Hotel_Booking,Can I book a hotel room for next weekend?
2,Hotel_Booking,What are the available hotels in New York?
2,Hotel_Booking,How can I cancel my hotel reservation?
2,Hotel_Booking,Can you suggest some good hotels in the city center?
2,Hotel_Booking,What are the available hotel options for next week?
2,Hotel_Booking,Is there any hotel near the airport?
2,Hotel_Booking,I need a hotel room for two adults and one child.
2,Hotel_Booking,How much does it cost to book a room for three nights?
2,Hotel_Booking,Can I change my booking after I make it?
2,Hotel_Booking,Do you offer any discounts for booking a hotel and flight?
2,Hotel_Booking,Are there any pet-friendly hotels in the area?
2,Hotel_Booking,Can I get a hotel room with a balcony or sea view?
2,Hotel_Booking,How far is the hotel from the city's main attractions?
3,Greeting,"Hello, how are you?"
3,Greeting,"Hi there, can you help me with something?"
3,Greeting,"Good morning, what services do you provide?"
3,Greeting,"Hey, what kind of trips can I book through your website?"
3,Greeting,"Hi, do you have any vacation packages available right now?"
3,Greeting,Hi
3,Greeting,Hey
3,Greeting,Good morning
3,Greeting,Good afternoon
3,Greeting,Hello
3,Greeting,How are you?
3,Greeting,What's up?
3,Greeting,Nice to meet you
3,Greeting,Greetings
3,Greeting,What can you do for me?
3,Greeting,Is anyone there?
3,Greeting,Are you a real person or a chatbot?
3,Greeting,Can you help me?
3,Greeting,What are you?
3,Greeting,Are you a chatbot or a robot?
4,Change_Flight,I want to change my flight
4,Change_Flight,Can I change my flight details?
4,Change_Flight,How do I modify my flight reservation?
4,Change_Flight,I need to change the date of my flight
4,Change_Flight,Is it possible to change the time of my flight?
4,Change_Flight,Can I change my flight to a later time?
4,Change_Flight,Is it possible to change the destination of my flight?
4,Change_Flight,Can I change my flight to another airline?
4,Change_Flight,Can I change my flight from a direct flight to a connecting flight?
4,Change_Flight,Can I change my flight to a different airport?
4,Change_Flight,How can I change the flight date on my ticket?
4,Change_Flight,What is the process for changing my flight?
4,Change_Flight,Is there a fee for changing my flight?
4,Change_Flight,Can I change my flight to a different time on the same day?
4,Change_Flight,What are the available options for changing my flight?
5,Change_Destination,Can I change my destination?
